tarih,toplam_tuketim_mwh,ortalama_ptf_tl_mwh,ortalama_sicaklik_c,yenilenebilir_orani,yil,ay,usd_try,eur_try,tufe_yillik,politika_faizi,reel_efektif_kur,sanayi_uretim_endeksi,toplam_tuketim_gwh,sanayi_tuketim_gwh,konut_tuketim_gwh,ticarethane_gwh,resmi_daire_gwh,diger_gwh,nufus_milyon,issizlik_orani
2018-01-01,26634158,1558.435806451613,3.135483870967742,0.3664493669405623,2018,1,4.0561,4.4573,16.34,10.8,84.1,90.7,25411.2,10576.2,6240.1,4102.7,1265.3,3268.8,81.015,11.32
2018-02-01,22518434,1488.4764285714286,6.167857142857143,0.3854125198304674,2018,2,4.1133,4.4024,20.73,12.17,75.89,97.3,22809.4,10024.4,5539.7,3720.2,1187.1,3052.9,80.992,11.86
2018-03-01,22886749,1536.663870967742,10.022580645161291,0.4134157174837403,2018,3,4.2435,4.5874,24.56,7.39,78.93,102.2,22076.5,9173.6,5296.7,3470,1142.6,2648.4,81.035,12.62
2018-04-01,20461660,1460.8473333333334,17.313333333333333,0.43492374169660125,2018,4,4.2774,4.6983,25.55,7.42,85.75,101.6,21313,8863.6,5139.7,3546.7,1142,2803.8,81.009,12.49
2018-05-01,20760509,1561.7535483870968,22.193548387096776,0.42248104839682377,2018,5,4.2306,4.7091,37.66,9.91,78.03,106.8,22080.6,9645.9,5152.1,3436.5,1087,2819.3,81.106,11.6
2018-06-01,20322463,1467.8036666666667,26.266666666666666,0.39535243729129677,2018,6,4.5331,4.8298,37.17,9.34,77.36,105.5,23249.8,9859.3,5367.6,3887.9,1150.7,2961.2,81.11,11.47
2018-07-01,22486184,1529.4341935483872,27.677419354838708,0.36341891445378993,2018,7,4.646,5.0442,44.23,12.07,83.27,109.3,24331.9,9945.2,5767,3921.6,1238.2,3140.8,81.105,9.34
2018-08-01,24848427,1509.438064516129,24.996774193548386,0.3305688960482019,2018,8,4.7765,5.1922,50.26,13.06,78.46,104.9,26960.5,11528.8,6573.6,4075.2,1320.5,3568.8,81.108,9.23
2018-09-01,25592464,1586.552,20.22,0.30054049893450846,2018,9,4.7607,5.3014,58.17,12.28,76.74,107.7,28818.2,12373.9,6908.4,4573.3,1562.5,3773.3,81.069,9
2018-10-01,28608712,1584.9487096774194,13.393548387096773,0.2963874604149842,2018,10,4.5441,5.2326,66.18,12.51,78.76,104.3,29663.7,12431.3,7177.9,4669.7,1563,3814.1,81.119,9.55
2018-11-01,27916419,1577.2676666666666,8.12,0.30389661137419566,2018,11,4.8627,5.4117,66.1,14.15,73.31,103.5,29060.9,12184,6892.8,4440.6,1507.6,3764.2,81.237,9.52
2018-12-01,28920510,1557.1712903225807,4.067741935483871,0.3318079610061179,2018,12,5.6501,6.3303,76.36,12.25,75.86,102.3,27596,11497.5,6687.9,4328,1320.6,3528.3,81.154,10.17
2019-01-01,27342048,1637.0851612903225,3.541935483870968,0.3551552906510735,2019,1,5.1911,5.3486,77.85,11.13,71.02,99.3,24916.6,10515.4,5989.3,4125.8,1193.7,3260.9,81.094,11.09
2019-02-01,22825687,1604.5017857142857,5.4,0.39157189737426806,2019,2,5.2019,5.6163,79.99,11.65,68.41,98.9,25460.8,11497.3,6327.2,4131.6,1244,3343,81.146,11.15
2019-03-01,23202123,1684.5687096774193,9.961290322580645,0.4123172681118496,2019,3,5.036,5.5507,85,15.5,70.81,107.9,22937.6,9714.8,5551.1,3681.8,1148.7,2911.4,81.122,12.61
2019-04-01,21225036,1679.883,16.766666666666666,0.4185397183851565,2019,4,5.6639,5.931,85,13.75,71.1,109.9,22786.9,9693.7,5293.1,3435.4,1215.7,3045.7,81.254,11.58
2019-05-01,21259236,1584.1770967741936,22.516129032258064,0.41964383317976695,2019,5,6.1963,6.9143,85,14.75,72.44,108.6,22490.4,9159.6,5400.2,3669.1,1135.8,2936.2,81.12,10.76
2019-06-01,20648840,1565.4573333333333,26.133333333333333,0.3964094654691982,2019,6,5.9022,6.3256,85,15.06,71.7,106.8,24992.5,10219.5,5957.4,3922.7,1189.8,3165.7,81.211,9.82
2019-07-01,23133086,1644.0709677419354,27.303225806451614,0.36896240310186823,2019,7,6.326,7.1346,85,17,76.82,111.5,25213.7,10506.3,6119.5,4051.9,1286.4,3281.9,81.155,8.51
2019-08-01,25123184,1632.0083870967742,23.85483870967742,0.3265860795976692,2019,8,6.3545,7.0578,85,18.6,72.09,111.5,27774.2,11504.3,6810.3,4486.5,1489.5,3625.3,81.187,8.72
2019-09-01,26370012,1659.8723333333332,20.04,0.30870319291173093,2019,9,6.3341,6.8632,85,14.95,74.81,113.2,28963.2,12302,6665.7,4532.7,1510.2,3743.8,81.18,8.05
2019-10-01,28980979,1656.651612903226,13.567741935483872,0.2954055458230722,2019,10,6.583,7.3266,85,17.15,70.84,112.9,30240.3,12544.4,7317.7,4873.9,1504.3,4087.2,81.395,8.79
2019-11-01,28568675,1626.1873333333333,7.956666666666667,0.310833044502695,2019,11,6.7722,6.9929,85,22.3,70.76,107.8,29571.7,12424.3,7288.4,4656.7,1482,3820.9,81.245,9.5
2019-12-01,29116443,1714.4487096774194,3.5129032258064514,0.3198256360485491,2019,12,6.966,7.7271,85,16.93,75.06,104.6,26873.5,11237.6,6693.1,4445.1,1345.3,3462.4,81.275,10.47
2020-01-01,27873966,1736.8680645161292,2.4483870967741934,0.36284247382573,2020,1,6.218,7.0484,85,18.44,73.57,104.3,26179.3,11117,6216,4262.4,1281.3,3319.1,81.296,11.78
2020-02-01,24112240,1785.683103448276,5.010344827586207,0.3941701402582617,2020,2,7.408,8.0947,85,14.51,75.17,105.8,24566.8,9981.5,5911.5,3918.9,1321.4,3075.1,81.322,10.37
2020-03-01,21932536,1684.7587096774193,10.070967741935483,0.414655957904917,2020,3,7.6377,8.0219,85,14.82,72.06,84.3,22387.2,9348.2,5270.5,3548.4,1094.2,2878.1,81.335,11.43
2020-04-01,18299453,1745.5446666666667,16.566666666666666,0.42740733226188043,2020,4,8.3222,9.1975,85,17.31,71.31,82.5,22890,9881.7,5548,3709.6,1135.2,2989.1,81.357,11.9
2020-05-01,18166155,1671.5987096774193,22.706451612903226,0.42767103234049575,2020,5,8.4475,9.3974,85,18.79,74.18,90,24615.2,10174.4,5901.3,4015.2,1229.8,3214.4,81.305,9.83
2020-06-01,19796053,1711.025,26.19,0.3991589359989839,2020,6,8.3162,9.4132,85,20.61,68.41,92.8,24748.5,10430.1,5964.6,3963.7,1174.7,3087.2,81.346,9.58
2020-07-01,23796044,1770.551935483871,27.387096774193548,0.3658618728355928,2020,7,7.9689,9.1148,85,20.96,74.19,98.4,25392.4,10898.7,6309.6,4090.6,1421.7,3260.6,81.262,9.11
2020-08-01,25697925,1768.0403225806451,25.009677419354837,0.3205662516907719,2020,8,7.7705,8.5239,85,19.66,63.44,117.7,28836.4,11970.7,7056.9,4746.4,1480.6,3805.2,81.423,7.89
2020-09-01,27121306,1805.786,19.413333333333334,0.3018497503023039,2020,9,8.7282,9.6579,85,20.39,74.49,117.4,30866.7,13002.2,7520.4,4912.1,1510.4,4078.7,81.433,9.04
2020-10-01,29428164,1801.058064516129,13.209677419354838,0.2932909248936637,2020,10,8.8346,9.4399,85,21.39,65.93,116.6,31163.5,13177.4,7211.9,4940.5,1562.1,4008,81.463,8.52
2020-11-01,29228586,1798.2343333333333,7.433333333333334,0.30256206374972133,2020,11,8.6879,9.5902,85,19.92,73.32,112.5,28960.2,11866,7226.4,4631.9,1393.9,3884.8,81.392,8.17
2020-12-01,29811240,1754.2506451612903,3.4612903225806453,0.3259978707032808,2020,12,8.7619,9.7769,85,21.24,72.08,114.4,28857.9,12242.1,7118.7,4803,1467.8,3695,81.401,9.34
2021-01-01,28287802,1820.493870967742,2.770967741935484,0.3669212739147507,2021,1,9.4371,10.5276,85,23.13,67.9,109.4,28214.8,11806,6724.5,4639.1,1387.3,3704.1,81.386,10
2021-02-01,23861351,1818.13,4.507142857142857,0.3908028429577277,2021,2,10.333,11.9287,85,21.94,72.05,107.7,25879,10877.7,6213.2,4107.9,1241.9,3372.8,81.375,11.43
2021-03-01,24620270,1765.03,10.570967741935483,0.4071327969346451,2021,3,10.2707,11.6897,85,24.76,65.61,110.4,24458,10274.7,5963.4,4038.3,1322.3,3187.9,81.349,9.53
2021-04-01,22089029,1755.6796666666667,16.156666666666666,0.4247224771557113,2021,4,10.1488,11.1758,85,23.72,67.29,116.1,24325.6,10009.9,5826,3814.2,1258.6,3254.7,81.424,10.49
2021-05-01,22334112,1766.1687096774194,21.07741935483871,0.4170456321691569,2021,5,11.1082,12.2599,85,22.11,65.5,120.3,24581,10350,6171.5,3918.1,1288.3,3229.4,81.463,9.67
2021-06-01,22217762,1872.4596666666666,25.74,0.40674561701520306,2021,6,11.1401,12.0715,85,22.45,74.67,125.5,26743.8,11104.2,6182.2,4276.7,1355.1,3527,81.47,9.48
2021-07-01,24091867,1740.1625806451614,26.94516129032258,0.3692176207537829,2021,7,11.5253,12.667,85,27.16,63.06,125.1,27507.5,11534.3,6650,4272.6,1379.6,3565.5,81.594,9.26
2021-08-01,26176888,1838.6445161290324,24.454838709677418,0.32506435264991873,2021,8,10.8519,12.1086,85,23.55,61.98,125.7,29660.1,12237.5,7042.1,4673.5,1526,3824.8,81.496,8.43
2021-09-01,27574860,1844.3206666666667,19.873333333333335,0.3011661163238194,2021,9,12.0494,13.5221,85,28.92,70.35,124.6,30557.8,12804.1,7125.6,4744.4,1541.2,3903.7,81.637,9.04
2021-10-01,29999643,1910.986129032258,13.374193548387098,0.29193388841018164,2021,10,11.6653,13.0725,85,30.32,63.42,120.3,31598.8,13428.8,7668.7,5013.4,1566.2,4224.3,81.517,8.89
