tarih,yil,ay,gun_haftasi,tuketim_mwh,uretim_mwh,dogalgaz_mwh,komur_mwh,hidro_mwh,ruzgar_mwh,gunes_mwh,ptf_ortalama_tl_mwh,ortalama_sicaklik_c
2018-01-01,2018,1,Pazartesi,899136,926110,199038,324541,176570,106827,23576,1635.45,-0.1
2018-01-02,2018,1,Salı,932413,960385,233335,340939,195653,114554,23045,1554.03,3
2018-01-03,2018,1,Çrᗺmba,905703,932874,199167,322624,182278,108537,19715,1685.64,-0.9
2018-01-04,2018,1,Perᗾmbe,883614,910122,216724,301404,198202,81562,33813,1667.78,4.4
2018-01-05,2018,1,Cuma,888336,914986,178555,324295,208156,79236,10861,1728.87,9.8
2018-01-06,2018,1,Cumartesi,795522,819387,215810,264055,163008,79452,30365,1189.98,1.5
2018-01-07,2018,1,Pazar,779427,802810,196319,289672,169769,77753,30399,1424.95,2.7
2018-01-08,2018,1,Pazartesi,900439,927452,193297,284656,225787,116075,35401,1314.37,4.5
2018-01-09,2018,1,Salı,915763,943236,227592,281890,220452,89890,34390,1529.94,2.1
2018-01-10,2018,1,Çrᗺmba,900527,927543,231136,313712,211142,110158,35265,1467.67,5.6
2018-01-11,2018,1,Perᗾmbe,907599,934827,182964,286206,248097,121645,28964,1469.39,6.2
2018-01-12,2018,1,Cuma,878991,905360,198770,303624,256440,103162,34888,1052.93,-3.1
2018-01-13,2018,1,Cumartesi,822597,847275,180077,255020,191310,100334,17068,1559.12,5
2018-01-14,2018,1,Pazar,807448,831672,177878,296475,189307,83107,24764,1295.67,9.5
2018-01-15,2018,1,Pazartesi,874825,901070,212080,294881,210008,83359,29232,1485.34,4.8
2018-01-16,2018,1,Salı,914011,941432,244299,315374,223369,93862,40382,1646.86,-0
2018-01-17,2018,1,Çrᗺmba,895977,922856,193574,298732,192469,100791,39000,1545.38,0
2018-01-18,2018,1,Perᗾmbe,889585,916272,215375,322775,199252,75321,32976,1523.59,3.3
2018-01-19,2018,1,Cuma,862807,888692,243409,314695,188068,103908,33668,1644.37,2.1
2018-01-20,2018,1,Cumartesi,788447,812100,178021,260703,205646,87765,47839,1631.92,0.3
2018-01-21,2018,1,Pazar,764983,787932,168228,262790,190215,53638,32566,1542.1,5.8
2018-01-22,2018,1,Pazartesi,895959,922838,256961,326013,225586,135849,29539,1843.85,3.9
2018-01-23,2018,1,Salı,852371,877943,219112,284064,195319,65347,14660,1661.37,6.2
2018-01-24,2018,1,Çrᗺmba,876793,903097,226318,309864,245412,108771,24783,1742.1,5.2
2018-01-25,2018,1,Perᗾmbe,823012,847702,202887,292027,223265,85369,26735,1617.26,8.4
2018-01-26,2018,1,Cuma,885483,912047,200434,320206,204757,94179,36893,1483.96,6
2018-01-27,2018,1,Cumartesi,771308,794447,191902,275383,175861,75168,4243,1646.56,2.3
2018-01-28,2018,1,Pazar,760120,782924,195707,260845,176920,71331,26371,1698.95,-0.3
