tarih_saat,tarih,saat,tuketim_mwh,uretim_mwh,dogalgaz_mwh,komur_mwh,hidro_mwh,ruzgar_mwh,gunes_mwh,diger_mwh,ptf_tl_mwh
2022-12-31T21:00:00Z,2022-12-31,0,29627,30515.8,7353.4,10812.1,5604.4,3970.2,0,2775.7,2682.25
2022-12-31T22:00:00Z,2022-12-31,1,27514.2,28339.6,6133.8,10000,5425.1,2748.6,0,4032.1,2206.54
2022-12-31T23:00:00Z,2022-12-31,2,28260.2,29108,5668.3,10312.5,6075,3647.2,0,3405,2474.42
2023-01-01T00:00:00Z,2023-01-01,3,26147.7,26932.1,5656.1,9703.2,5299.1,2654.1,0,3619.6,2428.21
2023-01-01T01:00:00Z,2023-01-01,4,27419.7,28242.3,6666.1,10109.8,4909,2079.2,0,4478.2,2513.29
2023-01-01T02:00:00Z,2023-01-01,5,28364.3,29215.2,6014.1,10302.2,6028.5,1902.6,25.7,4942.2,2713.28
2023-01-01T03:00:00Z,2023-01-01,6,32037.5,32998.7,6497.3,11881.8,7008.4,2050.2,0,5561,2739.75
2023-01-01T04:00:00Z,2023-01-01,7,34066.9,35088.9,8962.5,11989.2,7710.5,1980.8,187.7,4258.3,2842.56
2023-01-01T05:00:00Z,2023-01-01,8,36578.8,37676.2,8914,13556.1,7035.5,2800.1,796,4574.6,3009.93
2023-01-01T06:00:00Z,2023-01-01,9,37199.5,38315.5,6261.9,13288.1,6968.4,3059.9,1423.2,7314,3202.02
2023-01-01T07:00:00Z,2023-01-01,10,37579.3,38706.7,7990.5,12739.8,7608.9,3000.1,1521.3,5846.1,3144.42
2023-01-01T08:00:00Z,2023-01-01,11,37127.9,38241.7,6643.2,13689.5,8333.5,2382.6,2116.4,5076.4,2646.15
2023-01-01T09:00:00Z,2023-01-01,12,36933.7,38041.7,9046.9,15001.8,7736.5,3576.4,1877.9,802.2,3006.85
2023-01-01T10:00:00Z,2023-01-01,13,36312.9,37402.3,7285.8,12082.8,7765.6,2335.9,1790.1,6142.1,2647.16
2023-01-01T11:00:00Z,2023-01-01,14,34206.1,35232.3,8544.9,11984,7453.3,4208.8,1564.6,1476.6,2358.27
2023-01-01T12:00:00Z,2023-01-01,15,36677.2,37777.5,8485.6,12047.2,6976.1,3258.6,1206.5,5803.5,3121.91
2023-01-01T13:00:00Z,2023-01-01,16,36097.1,37180,9243.8,13114.2,7371.4,5075.8,868.3,1506.5,2298.05
2023-01-01T14:00:00Z,2023-01-01,17,35778.9,36852.2,8287.3,11731.9,7266.8,4954.2,385.2,4226.7,2948.95
2023-01-01T15:00:00Z,2023-01-01,18,34836.9,35882,7652,12634.7,6698.2,4100.8,0,4796.2,3199.63
2023-01-01T16:00:00Z,2023-01-01,19,35264.8,36322.8,8002.3,12623.6,7922,5075.1,0,2699.9,2495.89
2023-01-01T17:00:00Z,2023-01-01,20,33423.2,34425.9,8032.4,12477.2,7596.5,4332.1,0,1987.7,2363.35
2023-01-01T18:00:00Z,2023-01-01,21,31916.9,32874.4,8076.6,11367.9,6552.4,4592.1,149,2136.4,2868.24
2023-01-01T19:00:00Z,2023-01-01,22,29113.5,29986.9,6766.9,10056.5,5760.3,3267.2,0,4135.9,2586.2
2023-01-01T20:00:00Z,2023-01-01,23,29140,30014.2,6268.8,9106.1,6134.4,3967.2,25.5,4512.2,2506.95
2023-01-01T21:00:00Z,2023-01-01,0,30731.5,31653.5,7511.4,10530.9,6355.6,3670,0,3585.6,3156.8
2023-01-01T22:00:00Z,2023-01-01,1,31040.9,31972.1,7362.6,11868.5,5688.5,3389.7,0,3662.7,2663.15
2023-01-01T23:00:00Z,2023-01-01,2,30809.6,31733.9,7643.7,11782.3,6423.6,2967.8,0,2916.4,2760.83
2023-01-02T00:00:00Z,2023-01-02,3,33282.9,34281.4,7101.7,11993.9,6485.9,2801.6,40,5858.3,2833.66
2023-01-02T01:00:00Z,2023-01-02,4,35373.3,36434.5,6498,12313.5,6437.9,1902.8,139.2,9143.1,2806.45
2023-01-02T02:00:00Z,2023-01-02,5,38368.7,39519.8,9709.4,13966.7,7468.9,3523.5,0,4851.4,3181.43
2023-01-02T03:00:00Z,2023-01-02,6,39217.1,40393.6,9274.5,14928.2,10051.7,2506.2,26.3,3606.7,2877.35
2023-01-02T04:00:00Z,2023-01-02,7,41932.7,43190.7,8049.1,16054.2,8885.7,2377.2,641.8,7182.8,3471.62
