tarih,yil,ay,usd_try,eur_try,tufe_yillik,politika_faizi,reel_efektif_kur
2018-01-01,2018,1,4.0561,4.4573,16.34,10.8,84.1
2018-02-01,2018,2,4.1133,4.4024,20.73,12.17,75.89
2018-03-01,2018,3,4.2435,4.5874,24.56,7.39,78.93
2018-04-01,2018,4,4.2774,4.6983,25.55,7.42,85.75
2018-05-01,2018,5,4.2306,4.7091,37.66,9.91,78.03
2018-06-01,2018,6,4.5331,4.8298,37.17,9.34,77.36
2018-07-01,2018,7,4.646,5.0442,44.23,12.07,83.27
2018-08-01,2018,8,4.7765,5.1922,50.26,13.06,78.46
2018-09-01,2018,9,4.7607,5.3014,58.17,12.28,76.74
2018-10-01,2018,10,4.5441,5.2326,66.18,12.51,78.76
2018-11-01,2018,11,4.8627,5.4117,66.1,14.15,73.31
2018-12-01,2018,12,5.6501,6.3303,76.36,12.25,75.86
2019-01-01,2019,1,5.1911,5.3486,77.85,11.13,71.02
2019-02-01,2019,2,5.2019,5.6163,79.99,11.65,68.41
2019-03-01,2019,3,5.036,5.5507,85,15.5,70.81
2019-04-01,2019,4,5.6639,5.931,85,13.75,71.1
2019-05-01,2019,5,6.1963,6.9143,85,14.75,72.44
2019-06-01,2019,6,5.9022,6.3256,85,15.06,71.7
2019-07-01,2019,7,6.326,7.1346,85,17,76.82
2019-08-01,2019,8,6.3545,7.0578,85,18.6,72.09
2019-09-01,2019,9,6.3341,6.8632,85,14.95,74.81
2019-10-01,2019,10,6.583,7.3266,85,17.15,70.84
2019-11-01,2019,11,6.7722,6.9929,85,22.3,70.76
2019-12-01,2019,12,6.966,7.7271,85,16.93,75.06
2020-01-01,2020,1,6.218,7.0484,85,18.44,73.57
2020-02-01,2020,2,7.408,8.0947,85,14.51,75.17
2020-03-01,2020,3,7.6377,8.0219,85,14.82,72.06
2020-04-01,2020,4,8.3222,9.1975,85,17.31,71.31
2020-05-01,2020,5,8.4475,9.3974,85,18.79,74.18
2020-06-01,2020,6,8.3162,9.4132,85,20.61,68.41
2020-07-01,2020,7,7.9689,9.1148,85,20.96,74.19
2020-08-01,2020,8,7.7705,8.5239,85,19.66,63.44
2020-09-01,2020,9,8.7282,9.6579,85,20.39,74.49
2020-10-01,2020,10,8.8346,9.4399,85,21.39,65.93
