tarih,yil,ay,sanayi_uretim_endeksi,toplam_tuketim_gwh,sanayi_tuketim_gwh,konut_tuketim_gwh,ticarethane_gwh,resmi_daire_gwh,diger_gwh,nufus_milyon,issizlik_orani
2018-01-01,2018,1,90.7,25411.2,10576.2,6240.1,4102.7,1265.3,3268.8,81.015,11.32
2018-02-01,2018,2,97.3,22809.4,10024.4,5539.7,3720.2,1187.1,3052.9,80.992,11.86
2018-03-01,2018,3,102.2,22076.5,9173.6,5296.7,3470,1142.6,2648.4,81.035,12.62
2018-04-01,2018,4,101.6,21313,8863.6,5139.7,3546.7,1142,2803.8,81.009,12.49
2018-05-01,2018,5,106.8,22080.6,9645.9,5152.1,3436.5,1087,2819.3,81.106,11.6
2018-06-01,2018,6,105.5,23249.8,9859.3,5367.6,3887.9,1150.7,2961.2,81.11,11.47
2018-07-01,2018,7,109.3,24331.9,9945.2,5767,3921.6,1238.2,3140.8,81.105,9.34
2018-08-01,2018,8,104.9,26960.5,11528.8,6573.6,4075.2,1320.5,3568.8,81.108,9.23
2018-09-01,2018,9,107.7,28818.2,12373.9,6908.4,4573.3,1562.5,3773.3,81.069,9
2018-10-01,2018,10,104.3,29663.7,12431.3,7177.9,4669.7,1563,3814.1,81.119,9.55
2018-11-01,2018,11,103.5,29060.9,12184,6892.8,4440.6,1507.6,3764.2,81.237,9.52
2018-12-01,2018,12,102.3,27596,11497.5,6687.9,4328,1320.6,3528.3,81.154,10.17
2019-01-01,2019,1,99.3,24916.6,10515.4,5989.3,4125.8,1193.7,3260.9,81.094,11.09
2019-02-01,2019,2,98.9,25460.8,11497.3,6327.2,4131.6,1244,3343,81.146,11.15
2019-03-01,2019,3,107.9,22937.6,9714.8,5551.1,3681.8,1148.7,2911.4,81.122,12.61
2019-04-01,2019,4,109.9,22786.9,9693.7,5293.1,3435.4,1215.7,3045.7,81.254,11.58
2019-05-01,2019,5,108.6,22490.4,9159.6,5400.2,3669.1,1135.8,2936.2,81.12,10.76
2019-06-01,2019,6,106.8,24992.5,10219.5,5957.4,3922.7,1189.8,3165.7,81.211,9.82
2019-07-01,2019,7,111.5,25213.7,10506.3,6119.5,4051.9,1286.4,3281.9,81.155,8.51
2019-08-01,2019,8,111.5,27774.2,11504.3,6810.3,4486.5,1489.5,3625.3,81.187,8.72
2019-09-01,2019,9,113.2,28963.2,12302,6665.7,4532.7,1510.2,3743.8,81.18,8.05
2019-10-01,2019,10,112.9,30240.3,12544.4,7317.7,4873.9,1504.3,4087.2,81.395,8.79
2019-11-01,2019,11,107.8,29571.7,12424.3,7288.4,4656.7,1482,3820.9,81.245,9.5
2019-12-01,2019,12,104.6,26873.5,11237.6,6693.1,4445.1,1345.3,3462.4,81.275,10.47
2020-01-01,2020,1,104.3,26179.3,11117,6216,4262.4,1281.3,3319.1,81.296,11.78
2020-02-01,2020,2,105.8,24566.8,9981.5,5911.5,3918.9,1321.4,3075.1,81.322,10.37
2020-03-01,2020,3,84.3,22387.2,9348.2,5270.5,3548.4,1094.2,2878.1,81.335,11.43
2020-04-01,2020,4,82.5,22890,9881.7,5548,3709.6,1135.2,2989.1,81.357,11.9
2020-05-01,2020,5,90,24615.2,10174.4,5901.3,4015.2,1229.8,3214.4,81.305,9.83
2020-06-01,2020,6,92.8,24748.5,10430.1,5964.6,3963.7,1174.7,3087.2,81.346,9.58
2020-07-01,2020,7,98.4,25392.4,10898.7,6309.6,4090.6,1421.7,3260.6,81.262,9.11
2020-08-01,2020,8,117.7,28836.4,11970.7,7056.9,4746.4,1480.6,3805.2,81.423,7.89
2020-09-01,2020,9,117.4,30866.7,13002.2,7520.4,4912.1,1510.4,4078.7,81.433,9.04
2020-10-01,2020,10,116.6,31163.5,13177.4,7211.9,4940.5,1562.1,4008,81.463,8.52
2020-11-01,2020,11,112.5,28960.2,11866,7226.4,4631.9,1393.9,3884.8,81.392,8.17
2020-12-01,2020,12,114.4,28857.9,12242.1,7118.7,4803,1467.8,3695,81.401,9.34
2021-01-01,2021,1,109.4,28214.8,11806,6724.5,4639.1,1387.3,3704.1,81.386,10
2021-02-01,2021,2,107.7,25879,10877.7,6213.2,4107.9,1241.9,3372.8,81.375,11.43
2021-03-01,2021,3,110.4,24458,10274.7,5963.4,4038.3,1322.3,3187.9,81.349,9.53
2021-04-01,2021,4,116.1,24325.6,10009.9,5826,3814.2,1258.6,3254.7,81.424,10.49
2021-05-01,2021,5,120.3,24581,10350,6171.5,3918.1,1288.3,3229.4,81.463,9.67
2021-06-01,2021,6,125.5,26743.8,11104.2,6182.2,4276.7,1355.1,3527,81.47,9.48
2021-07-01,2021,7,125.1,27507.5,11534.3,6650,4272.6,1379.6,3565.5,81.594,9.26
2021-08-01,2021,8,125.7,29660.1,12237.5,7042.1,4673.5,1526,3824.8,81.496,8.43
2021-09-01,2021,9,124.6,30557.8,12804.1,7125.6,4744.4,1541.2,3903.7,81.637,9.04
2021-10-01,2021,10,120.3,31598.8,13428.8,7668.7,5013.4,1566.2,4224.3,81.517,8.89
2021-11-01,2021,11,117.7,30386.3,12911.4,7357.3,4882.8,1528.8,3923.5,81.59,8.86
2021-12-01,2021,12,114.5,31268,12844.6,7431.2,4978.7,1580.3,4093.4,81.597,9.54
2022-01-01,2022,1,121.4,30647.1,12976.8,7263.4,4851.1,1464.4,3875.9,81.57,8.98
2022-02-01,2022,2,114.4,25758.8,10775.5,6169,4251.2,1258.5,3355.3,81.562,9.72
2022-03-01,2022,3,115.6,25546.9,10220.8,6058,4079.7,1285.4,3266,81.632,10.72
2022-04-01,2022,4,118.2,24710.9,10203.4,6047.1,3905.4,1203.9,3193.6,81.678,9.82
2022-05-01,2022,5,124.1,26878.1,11296,6512.8,4347,1404.7,3409,81.599,8.9
2022-06-01,2022,6,127.8,26368.5,11297.6,6268.2,4345.3,1234,3556.1,81.723,9.78
2022-07-01,2022,7,128.1,29051.9,12324,6965.8,4858.1,1447,3689.5,81.591,8.51
2022-08-01,2022,8,123.3,30427.3,13023.1,7234.4,4916.1,1458.1,3953.5,81.699,7.84
2022-09-01,2022,9,120.7,33176.5,14112,7993.9,5436.9,1732.2,4313.3,81.715,7.89
2022-10-01,2022,10,124.5,32861.5,13691.5,8097.9,5170.8,1578.7,4330.4,81.708,7.54
2022-11-01,2022,11,122.5,31412.6,12628.3,7447,4935.3,1540.7,4069.7,81.705,7.51
2022-12-01,2022,12,115.9,31541.1,12636.4,7408,5001.5,1569.6,4097.5,81.755,9.07
2023-01-01,2023,1,117.4,30007.9,12554,7274.4,4821.7,1473.3,4016,81.683,9.26
2023-02-01,2023,2,117,26800,11387.2,6283.9,4561.5,1317.5,3363.7,81.764,9.09
2023-03-01,2023,3,120.5,25447.5,10721.9,6138.6,4174.3,1241.8,3450.2,81.628,9.06
2023-04-01,2023,4,123.5,25968.7,11045,6127.5,4276.4,1190.7,3638.6,81.801,10.09
2023-05-01,2023,5,126.7,27708.4,11562.9,6798.8,4525.3,1358.3,3615.1,81.767,9.81
2023-06-01,2023,6,129.4,27287.3,11667.8,6342.5,4289.1,1434.7,3531.5,81.789,8.24
2023-07-01,2023,7,133.7,30944.7,12484.6,7588,4923.1,1550.8,4015.9,81.813,6.9
2023-08-01,2023,8,130.8,31827.5,13396.7,7947.8,5242.2,1598.6,4090.3,81.865,6.97
2023-09-01,2023,9,126.5,32311.3,13602.3,7872.8,5108.3,1649,4049.3,81.89,7.17
2023-10-01,2023,10,126.4,33261.5,13971.1,8101.2,5420.9,1691.3,4324.8,81.799,6.88
2023-11-01,2023,11,128.8,33914.5,13934.7,8075.1,5496.3,1603.9,4443.3,81.968,7.66
2023-12-01,2023,12,125.5,32598.3,13825,7600.4,5259.5,1565.7,4215.6,81.799,9.11
2024-01-01,2024,1,121.9,28954.6,12609.9,7071.5,4683.9,1442,3846.5,81.867,8.79
2024-02-01,2024,2,124.5,28948.2,12146.5,7009.3,4641.3,1401.4,3841.7,81.829,9.5
2024-03-01,2024,3,129.9,27393.6,11346.5,6956.9,4390.7,1362.5,3533.4,81.981,8.81
2024-04-01,2024,4,129.8,26266.9,11093.6,6191,4313.8,1277.1,3355.6,81.936,9.47
2024-05-01,2024,5,132.8,28486.8,11976.7,7132.4,4666.7,1361.6,3713.7,81.912,8.82
2024-06-01,2024,6,137.3,29252.5,12089.4,6916.8,4519,1492.5,3706.8,82.021,7.24
2024-07-01,2024,7,143.8,30438.1,13106,7376.9,4813,1539.1,3984.8,81.958,6.47
2024-08-01,2024,8,135.7,32694,13581.5,7791.2,5263.1,1615.8,4185.6,81.956,6.67
2024-09-01,2024,9,136.2,34080.9,14192.5,7961.8,5591.8,1654,4489.8,81.936,6.15
2024-10-01,2024,10,134.4,35134.1,14707,8483.5,5725.7,1772.2,4695.1,81.963,6.7
2024-11-01,2024,11,125.1,34019,13722.7,8118.8,5450.6,1715.7,4417.7,82.038,7.53
2024-12-01,2024,12,126.5,31946.4,13192.9,7615.4,5094,1607.4,4224.4,82.062,7.92
2025-01-01,2025,1,127.8,30881.1,13014.1,7084.5,4978.4,1529.4,3977.7,82.034,7.69
2025-02-01,2025,2,132.9,29805.3,12814.2,7101.4,4736.9,1597,3756.3,82.146,8.12
2025-03-01,2025,3,133.3,28299.3,11785.5,6777.3,4335.8,1368.4,3625.3,82.056,9.18
2025-04-01,2025,4,139.7,27379.2,11360.4,6734.5,4249.3,1421.1,3409.1,81.984,8.21
